incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,incident_url,source_url
3228035,"June 8, 2025",Ohio,Cleveland,4071 Lee Rd,0,7,0,0,4,https://www.gunviolencearchive.org/incident/3228035,https://www.cleveland.com/news/2025/07/four-teens-arrested-in-connection-with-cleveland-shooting-that-injured-seven.html
3228413,"June 8, 2025",Wisconsin,Milwaukee,300 block of W McKinley Ave,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3228413,https://www.wisn.com/article/four-hurt-in-shooting-near-deer-district/65001649
3228293,"June 8, 2025",Georgia,Lagrange,105 Seminary St,1,6,0,0,0,https://www.gunviolencearchive.org/incident/3228293,https://www.wtvm.com/2025/06/08/19-year-old-dead-6-injured-overnight-shooting-seminary-st-lagrange/
3228103,"June 7, 2025",Virginia,Portsmouth,400 block of Viking St,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3228103,https://www.wtkr.com/news/in-the-community/portsmouth/police-search-for-suspect-after-2-adults-2-teens-were-shot-at-portsmouth-graduation-party
3227904,"June 7, 2025",North Carolina,Sanford,102 E Trade St,0,5,0,1,3,https://www.gunviolencearchive.org/incident/3227904,https://www.sanfordherald.com/archives/sanford-bar-shooting-results-in-two-more-arrests/article_bc07d182-3b9a-59fe-8193-1f71916b36e0.html
3228792,"June 7, 2025",Michigan,Benton Harbor,1000 block of Bishop St,0,6,0,0,0,https://www.gunviolencearchive.org/incident/3228792,https://www.heraldpalladium.com/communities/benton_harbor/several-injured-in-two-benton-harbor-shootings/article_4f1f67e3-a8e7-51ef-ab7c-acfd2aef87da.html
3227478,"June 6, 2025",Louisiana,Cheneyville,200 block of Derbourne St,0,5,0,0,13,https://www.gunviolencearchive.org/incident/3227478,https://whnt.com/news/six-arrested-for-shooting-at-cheneyville-memorial-service-in-june/
3227101,"June 6, 2025",South Carolina,Columbia,2408 Lincoln St,1,3,0,0,3,https://www.gunviolencearchive.org/incident/3227101,https://columbiapd.net/2025/11/24/third-arrest-made-in-fatal-shooting-at-airbnb-teen-suspect-being-held-at-djj/
3226727,"June 5, 2025",Texas,Dallas,3412 S Malcolm X Blvd,0,7,0,0,0,https://www.gunviolencearchive.org/incident/3226727,https://www.nbcdfw.com/news/local/multiple-people-shot-in-dallas-2-in-critical-condition/3857321/
3222953,"June 1, 2025",North Carolina,Hickory,1125 Walnut Acres Dr,1,12,0,0,6,https://www.gunviolencearchive.org/incident/3222953,https://www.wxii12.com/article/north-carolina-mass-shooting-pool-party-indictments-catawba-co/65173890
3223359,"June 1, 2025",North Carolina,Asheville,College St and Rankin Ave,0,4,1,0,0,https://www.gunviolencearchive.org/incident/3223359,https://wnctimes.com/news/10452-no-charges-filed-in-rankin-avenue-shooting-following-investigation
